player_id,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,pass_air_yd,pass_rz_att,rush_att,rush_yd,rush_td,rush_btkl,rush_yac,rush_rz_att,rush_tkl_loss,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_yar,rec_drop,rec_rz_tgt,fum,fum_lost,st_td,off_snp,tm_off_snp,bonus_pass_yd_300,bonus_pass_yd_400,bonus_rush_yd_100,bonus_rush_yd_200,bonus_rec_yd_100,bonus_rec_yd_200,season,position,points_freedom,points_uww,ppg_freedom,ppg_uww,pos_rank_freedom_tot,pos_rank_freedom_per,rank_freedom_tot,rank_freedom_per,pos_rank_uww_tot,pos_rank_uww_per,rank_uww_tot,rank_uww_per,starter_freedom,starter_uww
3453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
4385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
7013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,,,,,,,2020,QB,0.0,0.0,,,71.0,,484.0,,70.0,,483.0,,False,False
7862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
10233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,QB,0.0,0.0,,,71.0,,484.0,,70.0,,483.0,,False,False
6501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
12971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
6381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
6016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
11157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
6908,10.0,,,,,,,,,64.0,232.0,2.0,2.0,102.0,7.0,5.0,11.0,15.0,63.0,,-4.0,67.0,1.0,1.0,,,,202.0,649.0,,,,,,,2020,RB,52.5,52.5,5.2,5.2,73.0,70.0,258.0,251.0,73.0,70.0,256.0,251.0,False,False
4569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
5007,8.0,,,,,,,,,,,,,,,,33.0,40.0,400.0,3.0,252.0,148.0,,11.0,4.0,3.0,,302.0,617.0,,,,,1.0,,2020,WR,87.0,87.0,10.9,10.9,85.0,49.0,196.0,128.0,85.0,49.0,196.0,119.0,False,False
8116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,QB,0.0,0.0,,,71.0,,484.0,,70.0,,483.0,,False,False
